Look at the moon.	1f319	节日事物
I can see the full moon.	1f315	节日事物
I have a red lantern.	1f3ee	节日事物
I can see a rabbit on the moon.	1f430	节日事物
I can see a star.	2b50	节日事物
It is a beautiful night.	1f303	节日事物
I eat a mooncake.	1f96e	节日食物
I drink tea with grandma.	1f375	节日食物
I eat a tangerine.	1f34a	节日食物
I like grapes.	1f347	节日食物
I am with my family.	1f46a	家人团聚
I share with grandma.	1f475	家人团聚
Grandpa is here.	1f474	家人团聚
I share my mooncake.	1f91d	家人团聚
The moon is round.	2b55	形容词
The lantern is bright.	1f31f	形容词
The mooncake is sweet.	1f36f	形容词
I am happy tonight.	1f60a	形容词
